2024-12-22 00:00:00.244 [d4j-parallel-1-3] DEBUG discord4j.gateway.DefaultGatewayClient   : [G:1bf1fb93, S:0] Sending heartbeat PT41.1250598S after last ACK
2024-12-22 00:00:00.377 [reactor-http-nio-3] DEBUG discord4j.gateway.DefaultGatewayClient   : [G:1bf1fb93, S:0] Heartbeat acknowledged after PT0.1334272S
2024-12-22 00:00:41.483 [d4j-parallel-1-3] DEBUG discord4j.gateway.DefaultGatewayClient   : [G:1bf1fb93, S:0] Sending heartbeat PT41.1060235S after last ACK
2024-12-22 00:00:41.615 [reactor-http-nio-3] DEBUG discord4j.gateway.DefaultGatewayClient   : [G:1bf1fb93, S:0] Heartbeat acknowledged after PT0.1324822S
2024-12-22 00:01:22.743 [d4j-parallel-1-3] DEBUG discord4j.gateway.DefaultGatewayClient   : [G:1bf1fb93, S:0] Sending heartbeat PT41.1275607S after last ACK
2024-12-22 00:01:22.880 [reactor-http-nio-3] DEBUG discord4j.gateway.DefaultGatewayClient   : [G:1bf1fb93, S:0] Heartbeat acknowledged after PT0.136389S
2024-12-22 00:02:03.979 [d4j-parallel-1-3] DEBUG discord4j.gateway.DefaultGatewayClient   : [G:1bf1fb93, S:0] Sending heartbeat PT41.0997145S after last ACK
2024-12-22 00:02:04.127 [reactor-http-nio-3] DEBUG discord4j.gateway.DefaultGatewayClient   : [G:1bf1fb93, S:0] Heartbeat acknowledged after PT0.1482607S
2024-12-22 00:02:45.244 [d4j-parallel-1-3] DEBUG discord4j.gateway.DefaultGatewayClient   : [G:1bf1fb93, S:0] Sending heartbeat PT41.1158498S after last ACK
2024-12-22 00:02:45.382 [reactor-http-nio-3] DEBUG discord4j.gateway.DefaultGatewayClient   : [G:1bf1fb93, S:0] Heartbeat acknowledged after PT0.1385571S
2024-12-22 00:03:26.486 [d4j-parallel-1-3] DEBUG discord4j.gateway.DefaultGatewayClient   : [G:1bf1fb93, S:0] Sending heartbeat PT41.103523S after last ACK
2024-12-22 00:03:26.634 [reactor-http-nio-3] DEBUG discord4j.gateway.DefaultGatewayClient   : [G:1bf1fb93, S:0] Heartbeat acknowledged after PT0.1484517S
2024-12-22 00:04:07.732 [d4j-parallel-1-3] DEBUG discord4j.gateway.DefaultGatewayClient   : [G:1bf1fb93, S:0] Sending heartbeat PT41.0979618S after last ACK
2024-12-22 00:04:07.869 [reactor-http-nio-3] DEBUG discord4j.gateway.DefaultGatewayClient   : [G:1bf1fb93, S:0] Heartbeat acknowledged after PT0.1368595S
2024-12-22 00:04:48.982 [d4j-parallel-1-3] DEBUG discord4j.gateway.DefaultGatewayClient   : [G:1bf1fb93, S:0] Sending heartbeat PT41.1136081S after last ACK
2024-12-22 00:04:49.138 [reactor-http-nio-3] DEBUG discord4j.gateway.DefaultGatewayClient   : [G:1bf1fb93, S:0] Heartbeat acknowledged after PT0.1550085S
2024-12-22 00:05:30.240 [d4j-parallel-1-3] DEBUG discord4j.gateway.DefaultGatewayClient   : [G:1bf1fb93, S:0] Sending heartbeat PT41.1024672S after last ACK
2024-12-22 00:05:30.374 [reactor-http-nio-3] DEBUG discord4j.gateway.DefaultGatewayClient   : [G:1bf1fb93, S:0] Heartbeat acknowledged after PT0.1336008S
2024-12-22 00:06:11.481 [d4j-parallel-1-3] DEBUG discord4j.gateway.DefaultGatewayClient   : [G:1bf1fb93, S:0] Sending heartbeat PT41.1073597S after last ACK
2024-12-22 00:06:11.635 [reactor-http-nio-3] DEBUG discord4j.gateway.DefaultGatewayClient   : [G:1bf1fb93, S:0] Heartbeat acknowledged after PT0.1538365S
2024-12-22 00:06:52.731 [d4j-parallel-1-3] DEBUG discord4j.gateway.DefaultGatewayClient   : [G:1bf1fb93, S:0] Sending heartbeat PT41.0966239S after last ACK
2024-12-22 00:06:52.869 [reactor-http-nio-3] DEBUG discord4j.gateway.DefaultGatewayClient   : [G:1bf1fb93, S:0] Heartbeat acknowledged after PT0.1375032S
2024-12-22 00:07:33.979 [d4j-parallel-1-3] DEBUG discord4j.gateway.DefaultGatewayClient   : [G:1bf1fb93, S:0] Sending heartbeat PT41.1104103S after last ACK
2024-12-22 00:07:34.141 [reactor-http-nio-3] DEBUG discord4j.gateway.DefaultGatewayClient   : [G:1bf1fb93, S:0] Heartbeat acknowledged after PT0.1617549S
2024-12-22 00:08:15.238 [d4j-parallel-1-3] DEBUG discord4j.gateway.DefaultGatewayClient   : [G:1bf1fb93, S:0] Sending heartbeat PT41.0971603S after last ACK
2024-12-22 00:08:15.375 [reactor-http-nio-3] DEBUG discord4j.gateway.DefaultGatewayClient   : [G:1bf1fb93, S:0] Heartbeat acknowledged after PT0.1370773S
2024-12-22 00:08:56.479 [d4j-parallel-1-3] DEBUG discord4j.gateway.DefaultGatewayClient   : [G:1bf1fb93, S:0] Sending heartbeat PT41.1039684S after last ACK
2024-12-22 00:08:56.639 [reactor-http-nio-3] DEBUG discord4j.gateway.DefaultGatewayClient   : [G:1bf1fb93, S:0] Heartbeat acknowledged after PT0.1596963S
2024-12-22 00:09:37.736 [d4j-parallel-1-3] DEBUG discord4j.gateway.DefaultGatewayClient   : [G:1bf1fb93, S:0] Sending heartbeat PT41.0968866S after last ACK
2024-12-22 00:09:37.868 [reactor-http-nio-3] DEBUG discord4j.gateway.DefaultGatewayClient   : [G:1bf1fb93, S:0] Heartbeat acknowledged after PT0.1326962S
2024-12-22 00:10:18.986 [d4j-parallel-1-3] DEBUG discord4j.gateway.DefaultGatewayClient   : [G:1bf1fb93, S:0] Sending heartbeat PT41.1174472S after last ACK
2024-12-22 00:10:19.141 [reactor-http-nio-3] DEBUG discord4j.gateway.DefaultGatewayClient   : [G:1bf1fb93, S:0] Heartbeat acknowledged after PT0.1550424S
2024-12-22 00:11:00.243 [d4j-parallel-1-3] DEBUG discord4j.gateway.DefaultGatewayClient   : [G:1bf1fb93, S:0] Sending heartbeat PT41.1019115S after last ACK
